trans_id,date,amount
816278,1993-08-14,7900
816279,1993-09-13,9700
816280,1993-10-13,15600
816281,1993-11-12,14400
816181,1993-11-20,600
816216,1993-11-30,15
816173,1993-12-02,800
816282,1993-12-12,15800
816217,1993-12-31,15
816283,1994-01-11,15400
816218,1994-01-31,15
816190,1994-02-09,2880
816185,1994-02-24,3480
816219,1994-02-28,15
816284,1994-03-12,10400
816220,1994-03-31,15
816285,1994-04-11,13500
816221,1994-04-30,15
816191,1994-05-03,5400
816286,1994-05-11,5200
816222,1994-05-31,15
816223,1994-06-30,15
816288,1994-07-10,8100
816224,1994-07-31,15
816289,1994-08-09,8600
816189,1994-08-17,1440
816188,1994-08-28,4680
816225,1994-08-31,15
816187,1994-09-01,1440
816290,1994-09-08,3000
816226,1994-09-30,15
816291,1994-10-08,9300
816227,1994-10-31,15
816292,1994-11-07,7000
816228,1994-11-30,15
816293,1994-12-07,10600
816186,1994-12-17,1560
816174,1994-12-29,2400
816229,1994-12-31,15
816294,1995-01-06,10400
816230,1995-01-31,15
816295,1995-02-05,13100
816231,1995-02-28,15
816194,1995-03-06,3240
816296,1995-03-07,2700
816232,1995-03-31,15
816297,1995-04-06,4500
816233,1995-04-30,15
816298,1995-05-06,9900
816192,1995-05-26,2640
816234,1995-05-31,15
816299,1995-06-05,12900
816193,1995-06-25,5040
816235,1995-06-30,15
816300,1995-07-05,9600
816236,1995-07-31,15
816301,1995-08-04,11000
816237,1995-08-31,15
816302,1995-09-03,7700
816238,1995-09-30,15
816303,1995-10-03,8000
816239,1995-10-31,15
816304,1995-11-02,10700
816240,1995-11-30,15
816305,1995-12-02,8000
816175,1995-12-05,4320
816241,1995-12-31,15
816306,1996-01-01,11200
816242,1996-01-31,15
816307,1996-01-31,11600
816243,1996-02-29,15
816308,1996-03-01,6600
816195,1996-03-25,3240
816244,1996-03-31,15
816309,1996-03-31,7100
816245,1996-04-30,15
816310,1996-04-30,5500
816311,1996-05-30,6900
816246,1996-05-31,15
816312,1996-06-29,13800
816247,1996-06-30,15
816313,1996-07-29,15000
816248,1996-07-31,15
816314,1996-08-28,8000
816249,1996-08-31,15
816315,1996-09-27,11500
816250,1996-09-30,15
816196,1996-10-10,4680
816316,1996-10-27,3500
816251,1996-10-31,15
816317,1996-11-26,7000
816252,1996-11-30,15
816318,1996-12-26,11300
816253,1996-12-31,15
816319,1997-01-25,8700
816254,1997-01-31,15
816320,1997-02-24,10800
816255,1997-02-28,15
816321,1997-03-26,8200
816256,1997-03-31,15
816322,1997-04-25,7200
816257,1997-04-30,15
816258,1997-05-31,15
816324,1997-06-24,14300
816259,1997-06-30,15
816325,1997-07-24,7700
816260,1997-07-31,15
816326,1997-08-23,7000
816261,1997-08-31,15
816327,1997-09-22,11400
816262,1997-09-30,15
816328,1997-10-22,7500
816263,1997-10-31,15
816329,1997-11-21,8400
816264,1997-11-30,15
816330,1997-12-21,11700
816265,1997-12-31,15
816331,1998-01-20,7000
816203,1998-01-24,4560
816266,1998-01-31,15
816332,1998-02-19,6400
816267,1998-02-28,15
816333,1998-03-21,6800
816268,1998-03-31,15
816334,1998-04-20,10900
816269,1998-04-30,15
816335,1998-05-20,7200
816270,1998-05-31,15
816336,1998-06-19,14400
816271,1998-06-30,15
816337,1998-07-19,12100
816272,1998-07-31,15
816338,1998-08-18,9200
816273,1998-08-31,15
816274,1998-09-30,15
816340,1998-10-17,7100
816275,1998-10-31,15
816341,1998-11-16,10700
816276,1998-11-30,15
816342,1998-12-16,16400
